key,from,to,role,ref,persName_Text,p_Id
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
,,,,, S. Wyman Mackechnie ,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
" St Laurent,Louis",1882,1973,12thth Prime Minister of Canada, https://en.wikipedia.org/wiki/Louis_St._Laurent,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
" Farquharson, Ray",1897,1965,Former PC Leader and Senator , https://en.wikipedia.org/wiki/Ray_Farquharson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
"Pearson, Lester B",1897,1972,14th Prime Minister of Canada, https://en.wikipedia.org/wiki/Lester_B._Pearson,,8
