text	ref	p_Id	body_Id
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	1	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	3	
"Gatineau, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Gatineau&params=45_29_N_75_39_W_region:CA-QC_type:city(276245)	3	
Canada	https://tools.wmflabs.org/geohack/geohack.php?pagename=Canada&params=60_N_95_W_	3	
Canada	https://tools.wmflabs.org/geohack/geohack.php?pagename=Canada&params=60_N_95_W_	3	
"Quebec National Library, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Grande_Biblioth%C3%A8que&params=45.5156_N_73.5624_W_region:CA_type:landmark	3	
Canada	https://tools.wmflabs.org/geohack/geohack.php?pagename=Canada&params=60_N_95_W_	4	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	5	
Clarendon Center	https://tools.wmflabs.org/geohack/geohack.php?pagename=Clarendon%2C_Quebec&params=45_39_N_76_31_W_region:CA-QC_type:city(1183)	5	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	6	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	6	
Coulonge River	https://tools.wmflabs.org/geohack/geohack.php?pagename=Coulonge_River&params=45_51_44_N_76_45_54_W_region:CA-QC_type:river)	6	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	6	
"Bristol, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Bristol%2C_Quebec&params=45_32_N_76_28_W_region:CA-QC_type:city(1128)	6	
"Aldfield, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aldfield&params=54.120_N_-01.598_E_region:GB_type:city	6	
"Onslow, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	6	
"Onslow South, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	6	
